Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
TZ98966,Nevada,0,Bachelor,245019.10%,0.0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.376763,0,0
HM55802,California,0,Bachelor,239210.79%,17870.0,61.0,1/0/00,Corporate Auto,Four-Door Car,439.2,0,0
FS42516,Oregon,0,College,580206.60%,97541.0,72.0,1/0/00,Personal Auto,Four-Door Car,389.185006,0,0
US89481,California,0,Bachelor,394637.21%,0.0,111.0,1/0/00,Personal Auto,Four-Door Car,799.2,0,0
HS14476,Washington,M,College,916206.32%,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.985105,0,0
GE62437,AZ,0,College,1290256.01%,86584.0,111.0,1/2/00,Personal Auto,Four-Door Car,532.8,0,0
EJ77678,Oregon,0,Master,323536.05%,75690.0,80.0,1/1/00,Personal Auto,Four-Door Car,384.0,0,0
SV85652,Arizona,0,College,245458.35%,23158.0,63.0,1/1/00,Personal Auto,Four-Door Car,322.294043,0,0
UL64533,Nevada,0,High School or Below,1897545.61%,65999.0,237.0,1/0/00,Corporate Auto,Luxury SUV,615.927769,0,0
PF41800,California,0,Bachelor,471532.13%,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,308.15089,0,0
HD95276,Washington,F,College,473787.17%,0.0,130.0,1/0/00,Personal Auto,SUV,23.820158,0,0
SK67821,Oregon,0,Bachelor,493291.63%,37260.0,62.0,1/0/00,Corporate Auto,Four-Door Car,15.437681,0,0
YV55495,Arizona,0,High School or Below,574422.97%,68987.0,71.0,1/0/00,Personal Auto,Four-Door Car,204.475147,0,0
KY38074,California,0,Bachelor,1389173.57%,42305.0,117.0,1/0/00,Personal Auto,Four-Door Car,561.6,0,0
DM79012,Oregon,0,Master,738097.67%,65706.0,91.0,1/0/00,Personal Auto,Four-Door Car,436.8,0,0
CM61827,Oregon,0,Bachelor,309003.41%,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,648.0,0,0
WC35801,Arizona,0,High School or Below,252163.31%,53243.0,66.0,1/2/00,Personal Auto,Four-Door Car,157.397849,0,0
QG25316,Nevada,0,High School or Below,265206.18%,0.0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.318536,0,0
MB98372,Oregon,0,College,277104.50%,50071.0,71.0,1/0/00,Corporate Auto,Two-Door Car,18.918935,0,0
IL19217,California,0,Bachelor,393900.64%,60021.0,99.0,1/0/00,Personal Auto,Four-Door Car,882.871945,0,0
SR38658,Arizona,0,High School or Below,1223187.97%,43244.0,103.0,1/0/00,Personal Auto,Sports Car,494.4,0,0
YD87931,Washington,M,Doctor,495165.61%,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317,0,0
HG65722,Oregon,0,Doctor,1281910.29%,10105.0,172.0,1/3/00,Personal Auto,SUV,0.517753,0,0
BU27331,Arizona,0,Bachelor,446851.05%,0.0,73.0,1/3/00,Personal Auto,Four-Door Car,579.165954,0,0
XM45289,Oregon,0,High School or Below,551434.40%,23218.0,71.0,1/0/00,Personal Auto,Two-Door Car,447.79344,0,0
KP34198,California,0,Bachelor,334387.53%,0.0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.624084,0,0
SH90947,Arizona,0,High School or Below,229447.89%,0.0,62.0,1/0/00,Personal Auto,Four-Door Car,313.023175,0,0
WE95729,Oregon,0,College,3670742.64%,24804.0,104.0,1/0/00,Personal Auto,SUV,593.830288,0,0
PY51963,California,0,Bachelor,3347334.95%,33190.0,106.0,1/0/00,Corporate Auto,SUV,508.8,0,0
RB69909,Nevada,0,High School or Below,798343.17%,36014.0,69.0,1/3/00,Special Auto,Four-Door Car,173.956072,0,0
NW21079,Washington,F,Master,487938.48%,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803,0,0
FR46645,California,0,Bachelor,429399.73%,16701.0,113.0,1/0/00,Personal Auto,Four-Door Car,831.625979,0,0
SY17488,Arizona,0,College,716439.55%,46623.0,91.0,1/0/00,Corporate Auto,Four-Door Car,436.8,0,0
AP67935,California,0,College,761951.58%,64749.0,64.0,1/0/00,Special Auto,Four-Door Car,302.56519,0,0
FS37417,Arizona,0,High School or Below,395800.28%,0.0,101.0,1/0/00,Personal Auto,SUV,484.8,0,0
ML29312,Oregon,0,High School or Below,449949.33%,16969.0,124.0,1/2/00,Personal Auto,SUV,704.768111,0,0
UB61619,Oregon,0,Master,405956.74%,11621.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.4,0,0
CD86811,Arizona,0,Bachelor,445811.34%,17622.0,65.0,1/1/00,Personal Auto,Four-Door Car,312.0,0,0
RU83859,California,0,Bachelor,811033.31%,11489.0,105.0,1/0/00,Personal Auto,Two-Door Car,504.0,0,0
FG63582,Oregon,0,Bachelor,333976.49%,0.0,94.0,1/0/00,Personal Auto,Two-Door Car,863.327324,0,0
NN71951,California,0,High School or Below,2426101.78%,66525.0,100.0,1/0/00,Personal Auto,SUV,104.331355,0,0
WB37082,Arizona,0,Bachelor,661397.37%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,676.391482,0,0
SM52139,WA,0,College,293069.35%,33663.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,0,0
FL82372,Oregon,0,College,867219.43%,22547.0,112.0,1/0/00,Corporate Auto,SUV,537.6,0,0
DP45816,AZ,0,High School or Below,1163866.93%,61486.0,97.0,1/0/00,Personal Auto,Two-Door Car,465.258644,0,0
GW33762,Oregon,0,Bachelor,684615.03%,0.0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0,0,0
RZ33670,California,0,College,1172777.65%,29879.0,102.0,1/0/00,Personal Auto,Four-Door Car,500.254235,0,0
PY70169,Oregon,0,High School or Below,2264383.48%,93011.0,113.0,1/0/00,Personal Auto,SUV,281.451042,0,0
MO91628,Oregon,0,Master,261447.43%,65186.0,65.0,1/0/00,Personal Auto,Two-Door Car,5.434505,0,0
HW87852,Oregon,0,Master,245175.27%,26840.0,64.0,1/2/00,Personal Auto,Four-Door Car,307.2,0,0
HB20453,Oregon,0,Bachelor,678127.02%,0.0,104.0,1/1/00,Personal Auto,Sports Car,982.399613,0,0
BN87372,Oregon,0,Bachelor,497480.15%,75644.0,65.0,1/3/00,Personal Auto,Two-Door Car,467.803638,0,0
YX23800,Oregon,0,Bachelor,859160.49%,38984.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,0,0
DZ87709,Oregon,0,High School or Below,559216.14%,71811.0,71.0,1/0/00,Personal Auto,Four-Door Car,29.03416,0,0
XW13033,Nevada,0,College,800947.28%,20961.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,0,0
SP81997,Washington,F,Master,0,41275.0,96.0,1/0/00,Personal Auto,Four-Door Car,41.122303,0,0
OM82309,California,0,Bachelor,5816655.35%,61321.0,186.0,1/1/00,Personal Auto,Luxury Car,427.63121,0,0
ZU35962,California,0,College,802522.94%,0.0,77.0,1/0/00,Personal Auto,Two-Door Car,25.807685,0,0
VH85817,California,0,High School or Below,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,0,0
DT85712,California,0,Doctor,411853.91%,34378.0,102.0,1/0/00,Personal Auto,SUV,489.6,0,0
YJ88573,Nevada,0,Master,252307.02%,43072.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,0,0
SQ19467,Oregon,0,College,655421.64%,25222.0,90.0,1/0/00,Personal Auto,Four-Door Car,475.623251,0,0
YB66933,Washington,F,Bachelor,538275.20%,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059,0,0
ET79815,California,0,College,592672.94%,23091.0,96.0,1/5/00,Personal Auto,Four-Door Car,460.8,0,0
QC35222,California,0,Bachelor,268347.07%,48269.0,69.0,1/3/00,Corporate Auto,Four-Door Car,282.151207,0,0
CJ15590,Oregon,0,Bachelor,269518.24%,32720.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,0,0
OI48267,California,0,College,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,0,0
JY67916,Oregon,0,College,1317101.28%,21513.0,119.0,1/1/00,Personal Auto,Two-Door Car,679.827592,0,0
OW15518,Washington,F,College,1595001.95%,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452,0,0
CZ33664,Oregon,0,Bachelor,252765.38%,80744.0,63.0,1/0/00,Corporate Auto,Four-Door Car,11.879037,0,0
WK30175,Oregon,0,Bachelor,267209.58%,52822.0,67.0,1/0/00,Corporate Auto,Two-Door Car,350.529033,0,0
ON44465,California,0,High School or Below,531329.40%,0.0,77.0,1/1/00,Personal Auto,Four-Door Car,863.3947,0,0
TV87155,Oregon,0,Bachelor,2094619.25%,69738.0,74.0,1/1/00,Personal Auto,Four-Door Car,492.127532,0,0
KH48895,AZ,0,Master,837535.39%,17780.0,109.0,1/0/00,Personal Auto,SUV,132.588288,0,0
NZ30757,California,0,Bachelor,480166.15%,18107.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.6,0,0
RI22468,AZ,0,Bachelor,574594.33%,57740.0,74.0,1/3/00,Personal Auto,Four-Door Car,269.905129,0,0
FZ30935,Oregon,0,College,606611.60%,32627.0,76.0,1/0/00,Personal Auto,Two-Door Car,380.036697,0,0
UG93476,California,0,College,800230.83%,0.0,107.0,1/0/00,Personal Auto,SUV,513.6,0,0
AB96670,California,0,College,239391.54%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,425.266308,0,0
XK64261,Oregon,0,Bachelor,476281.79%,65795.0,62.0,1/1/00,Corporate Auto,Two-Door Car,49.011099,0,0
EV68375,California,0,College,433038.60%,60475.0,107.0,1/0/00,Personal Auto,Four-Door Car,513.6,0,0
UN51653,California,0,High School or Below,940272.98%,0.0,130.0,1/0/00,Personal Auto,SUV,936.0,0,0
TO96662,Oregon,0,Bachelor,696669.45%,41837.0,88.0,1/0/00,Personal Auto,Four-Door Car,142.062768,0,0
MR52087,California,0,Bachelor,769406.43%,32303.0,65.0,1/0/00,Personal Auto,Four-Door Car,45.152521,0,0
DE75225,Oregon,0,High School or Below,871756.11%,0.0,117.0,1/1/00,Personal Auto,SUV,561.6,0,0
EP80820,California,0,Bachelor,592874.85%,40531.0,74.0,1/0/00,Personal Auto,Two-Door Car,30.567357,0,0
GU99037,Oregon,0,College,245297.73%,79898.0,62.0,1/1/00,Corporate Auto,Four-Door Car,271.606799,0,0
WI57118,California,0,College,670157.17%,56398.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,0,0
GP39118,Washington,M,High School or Below,499655.27%,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117,0,0
MQ14219,AZ,0,College,849269.88%,27804.0,109.0,1/0/00,Personal Auto,SUV,784.8,0,0
KN20603,Oregon,0,Bachelor,771349.40%,45506.0,66.0,1/2/00,Personal Auto,Four-Door Car,316.8,0,0
SG20925,Washington,F,Master,518579.76%,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869,0,0
JI70886,California,0,High School or Below,729006.98%,0.0,102.0,1/1/00,Corporate Auto,SUV,489.6,0,0
VF72557,Oregon,0,High School or Below,477294.38%,20993.0,133.0,1/0/00,Personal Auto,SUV,638.4,0,0
OX28638,AZ,0,High School or Below,680649.14%,37839.0,86.0,1/0/00,Personal Auto,Two-Door Car,465.633954,0,0
SK55033,California,0,Bachelor,246978.13%,92711.0,62.0,1/0/00,Personal Auto,Two-Door Car,368.400146,0,0
OO88645,California,0,College,310392.30%,74665.0,78.0,1/2/00,Corporate Auto,Four-Door Car,236.902001,0,0
FM14335,Washington,F,College,1048491.54%,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,0,0
CW82151,California,0,Bachelor,890273.76%,46833.0,112.0,1/0/00,Personal Auto,Sports Car,64.109663,0,0
DY22043,Oregon,0,High School or Below,549944.72%,88768.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4,0,0
SH36774,California,0,High School or Below,1502359.86%,28262.0,192.0,1/0/00,Personal Auto,Luxury SUV,921.6,0,0
EM43724,Nevada,0,Bachelor,250910.79%,33555.0,63.0,1/0/00,Personal Auto,Four-Door Car,101.89645,0,0
FH85960,Oregon,0,College,3122174.81%,42780.0,113.0,1/1/00,Personal Auto,Four-Door Car,542.4,0,0
XA55993,Oregon,0,Master,313350.34%,58850.0,78.0,1/0/00,Personal Auto,Four-Door Car,143.747794,0,0
GO36627,AZ,0,College,383745.19%,21880.0,97.0,1/0/00,Special Auto,Four-Door Car,424.077159,0,0
QH48047,Oregon,0,College,1179049.62%,25251.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.8,0,0
HS28694,Washington,F,High School or Below,282986.39%,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181,0,0
UH65059,AZ,0,High School or Below,430580.83%,24188.0,109.0,1/0/00,Personal Auto,Sports Car,523.2,0,0
FV21968,Nevada,0,Bachelor,597397.69%,41611.0,74.0,1/0/00,Special Auto,Four-Door Car,113.801497,0,0
QA87025,Oregon,0,Bachelor,567044.24%,28406.0,72.0,1/1/00,Personal Auto,Four-Door Car,192.87572,0,0
TQ13499,AZ,0,College,473174.93%,69833.0,118.0,1/0/00,Personal Auto,Four-Door Car,828.662719,0,0
BU44523,AZ,0,High School or Below,802637.96%,0.0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.8,0,0
MS41162,AZ,0,High School or Below,402296.35%,0.0,117.0,1/0/00,Personal Auto,SUV,975.107098,0,0
PU25891,Oregon,0,High School or Below,961831.09%,80536.0,119.0,1/0/00,Special Auto,Sports Car,53.798708,0,0
LH92841,Washington,F,Bachelors,725595.38%,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355,0,0
SX26335,Oregon,0,College,955292.69%,97732.0,79.0,1/0/00,Personal Auto,Four-Door Car,289.9122,0,0
AZ95587,AZ,F,Bachelor,1038855.32%,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.604371,0,0
DS81757,Oregon,M,College,247012.12%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206,0,0
OJ94107,AZ,M,Master,561906.85%,50335.0,140.0,1/0/00,Personal Auto,SUV,456.52385,0,0
LP84436,California,F,High School or Below,904711.92%,0.0,127.0,1/0/00,Personal Auto,Sports Car,1087.995426,0,0
FF22360,Washington,F,Doctor,268731.41%,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915,0,0
LM19287,Oregon,F,High School or Below,373150.46%,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8,0,0
ZU18643,Nevada,M,Bachelor,366077.03%,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083,0,0
AZ82578,California,F,College,792882.93%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6,0,0
XC67861,Arizona,F,Bachelor,501175.16%,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6,0,0
YC43143,Arizona,F,High School or Below,798825.83%,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608,0,0
EK59571,Oregon,M,College,388545.64%,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0,0,0
PA38372,Washington,F,High School or Below,935773.78%,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578,0,0
RO18530,Washington,M,Master,254068.98%,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324,0,0
PD27940,Arizona,M,High School or Below,488516.25%,26372.0,126.0,1/0/00,Personal Auto,SUV,604.8,0,0
BS77946,Arizona,F,Bachelor,975330.71%,17514.0,127.0,1/0/00,Personal Auto,SUV,8.312729,0,0
YM50253,California,Femal,Bachelor,294615.37%,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228,0,0
NR15332,California,M,High School or Below,258111.09%,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0,0,0
RC62865,Oregon,M,College,351738.58%,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724,0,0
CC15295,Oregon,F,Bachelor,974335.01%,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.6,0,0
KA61892,Arizona,M,College,387364.70%,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.708239,0,0
OS94884,Arizona,F,Bachelor,764928.20%,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563,0,0
ND87334,California,M,High School or Below,228759.69%,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378,0,0
OY51402,Washington,F,High School or Below,825576.39%,54040.0,103.0,1/0/00,Personal Auto,SUV,59.987126,0,0
YL74911,California,F,College,871492.21%,0.0,118.0,1/0/00,Personal Auto,SUV,566.4,0,0
GK92563,Washington,F,Doctor,681923.12%,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262,0,0
HL53154,California,M,Bachelor,741619.73%,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4,0,0
RI78966,Oregon,M,Master,777115.90%,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477,0,0
IC13702,California,F,Bachelor,696834.19%,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8,0,0
BE10809,California,F,High School or Below,425028.26%,0.0,61.0,1/1/00,Personal Auto,Four-Door Car,292.8,0,0
HT87217,Oregon,F,High School or Below,1977656.65%,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837,0,0
TH95618,California,F,High School or Below,2134346.60%,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2,0,0
TS19868,California,M,College,241313.97%,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401,0,0
LP45550,Oregon,F,Doctor,1536384.72%,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399,0,0
QR87004,Nevada,F,College,845696.19%,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063,0,0
OE75747,Nevada,F,College,218964.25%,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8,0,0
DX91392,California,M,High School or Below,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,0,0
AB72731,California,F,Bachelor,463998.16%,28358.0,117.0,1/0/00,Personal Auto,Sports Car,84.024413,0,0
GX84338,Washington,F,Doctor,382443.13%,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771,0,0
IS12901,Arizona,F,Bachelor,596811.89%,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145,0,0
BN90616,Washington,F,Bachelor,859033.50%,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721,0,0
HH90090,California,F,Bachelor,407663.47%,29549.0,104.0,1/0/00,Personal Auto,Sports Car,710.433775,0,0
IU25463,California,F,Bachelor,1225260.18%,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0,0,0
KC11055,Nevada,F,Bachelor,1693627.15%,39411.0,217.0,1/2/00,Personal Auto,Luxury Car,1122.658899,0,0
PD33979,Oregon,M,High School or Below,489243.55%,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746,0,0
NK71023,Nevada,M,Bachelor,994230.48%,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,0,0
AB13432,California,M,Bachelor,373583.81%,0.0,110.0,1/0/00,Personal Auto,SUV,792.0,0,0
OZ97704,California,F,High School or Below,1311752.22%,84311.0,111.0,1/4/00,Personal Auto,SUV,532.8,0,0
UF46533,California,F,College,457452.41%,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.358929,0,0
XP47431,Arizona,F,Bachelor,547006.06%,54507.0,138.0,1/0/00,Personal Auto,SUV,702.990032,0,0
GK73582,California,F,Bachelor,297884.60%,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111,0,0
RV98763,Oregon,M,College,641096.75%,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894,0,0
II62831,California,M,Master,447902.31%,94656.0,111.0,1/1/00,Special Auto,SUV,459.738128,0,0
XK33449,California,F,High School or Below,238373.19%,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.8,0,0
TR85083,California,M,Bachelor,276449.37%,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0,0,0
EO95328,Oregon,F,Bachelor,792010.54%,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.6,0,0
EN21086,Arizona,F,High School or Below,688909.80%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,0,0
YL83902,WA,F,Bachelor,327419.46%,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107,0,0
AZ62651,Oregon,M,High School or Below,995170.77%,56855.0,255.0,1/0/00,Corporate Auto,Luxury SUV,1836.0,0,0
ZW25874,Oregon,M,Bachelor,252155.57%,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.632476,0,0
EH41854,WA,F,High School or Below,2370611.34%,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918,0,0
MW70227,California,M,College,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,0,0
SL22297,California,F,Master,1114030.25%,27679.0,150.0,1/0/00,Personal Auto,SUV,722.486994,0,0
RV14138,Nevada,F,Bachelor,433406.41%,23904.0,123.0,1/3/00,Personal Auto,SUV,590.4,0,0
UO62808,Arizona,F,High School or Below,279974.79%,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516,0,0
ZX64745,California,M,College,792313.66%,0.0,113.0,1/0/00,Personal Auto,SUV,1124.427734,0,0
FL34139,California,M,High School or Below,368811.09%,0.0,63.0,1/3/00,Personal Auto,Four-Door Car,669.682001,0,0
TS11219,California,M,College,1206745.60%,0.0,116.0,1/0/00,Personal Auto,SUV,1284.093173,0,0
XX12304,California,F,College,292497.67%,64459.0,72.0,1/0/00,Personal Auto,Four-Door Car,240.259479,0,0
SD64087,California,M,College,1501409.27%,32961.0,190.0,1/0/00,Corporate Auto,SUV,912.0,0,0
OY38576,Oregon,F,High School or Below,927723.38%,71416.0,116.0,1/0/00,Corporate Auto,SUV,556.8,0,0
BG76355,WA,F,Bachelor,627412.39%,68964.0,78.0,1/0/00,Personal Auto,Four-Door Car,115.086827,0,0
IP66913,Cali,M,High School or Below,388664.74%,78108.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4,0,0
LE95702,Cali,M,College,438627.76%,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6,0,0
KX54357,WA,M,College,1136526.77%,84910.0,95.0,1/0/00,Corporate Auto,Two-Door Car,383.167471,0,0
EZ78112,Cali,Femal,High School or Below,561096.43%,77493.0,70.0,1/0/00,Special Auto,Four-Door Car,307.963291,0,0
XN16891,Arizona,M,College,291289.20%,81097.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,0,0
XK31350,Oregon,Femal,College,691572.99%,96610.0,85.0,1/0/00,Corporate Auto,Four-Door Car,520.364752,0,0
CC30924,Oregon,M,College,626266.33%,30110.0,159.0,1/0/00,Corporate Auto,Sports Car,466.436375,0,0
IT78748,Oregon,Femal,High School or Below,650339.70%,22081.0,84.0,1/0/00,Special Auto,Two-Door Car,451.670309,0,0
KY33386,WA,Femal,High School or Below,800739.94%,0.0,112.0,1/0/00,Personal Auto,Sports Car,537.6,0,0
CO44221,Cali,M,College,292991.65%,98473.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,0,0
LK60013,Oregon,Femal,Bachelor,596955.30%,97431.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,0,0
DE21533,Cali,M,Bachelor,547315.99%,93870.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,0,0
YS94121,Nevada,M,High School or Below,564539.67%,50366.0,72.0,1/0/00,Personal Auto,Four-Door Car,428.734656,0,0
UK68427,WA,M,High School or Below,636926.24%,34498.0,83.0,1/0/00,Personal Auto,Two-Door Car,398.4,0,0
TE49565,Oregon,Femal,College,1183376.73%,16552.0,103.0,1/0/00,Personal Auto,SUV,494.4,0,0
RA88421,Oregon,Femal,College,612110.79%,26787.0,77.0,1/0/00,Personal Auto,Four-Door Car,369.6,0,0
KQ51983,Nevada,M,College,515936.97%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,831.752839,0,0
CD88896,Nevada,Femal,High School or Below,251459.20%,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914,0,0
YV22553,Arizona,M,High School or Below,866861.13%,21474.0,114.0,1/2/00,Corporate Auto,SUV,373.428187,0,0
WU14435,Cali,M,Bachelor,496096.54%,18174.0,66.0,1/0/00,Corporate Auto,Four-Door Car,395.934815,0,0
XV84099,Arizona,Femal,Bachelor,550413.90%,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4,0,0
RI24911,Arizona,Male,College,750745.54%,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886,0,0
